universidade;curso;campus;turno/grau;redacao;ciencias humanas;ciencias da natureza;linguagens e codigos;matematica;soma pesos;nota corte
UFMG;ODONTOLOGIA;Câmpus Pampulha;Integral (Bacharelado);1;1;1;1;1;5;764,36
UFMG;ARQUITETURA E URBANISMO;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;766,68
UFMG;BIOMEDICINA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;769,24
UFMG;PSICOLOGIA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;771,06
UFMG;ENGENHARIA ELÉTRICA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;771,22
UFMG;DIREITO;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;771,8
UFMG;ENGENHARIA QUÍMICA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;779,9
UFMG;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO;Câmpus Pampulha;Vespertino (Bacharelado);1;1;1;1;1;5;780,3
UFMG;CIÊNCIAS ECONÔMICAS;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;780,92
UFMG;ENGENHARIA MECÂNICA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;781,34
UFMG;DIREITO;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;783,14
UFMG;ENGENHARIA DE COMPUTAÇÃO;Câmpus Pampulha;Vespertino (Bacharelado);1;1;1;1;1;5;791,02
UFMG;ENGENHARIA AEROESPACIAL;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;794,44
UFMG;MEDICINA;Câmpus Pampulha;Integral (Bacharelado);1;1;1;1;1;5;818,5
UFJ;AGRONOMIA;Unidade SEDE (Jataí);Integral (Bacharelado);2;1;3;2;2;10;676,61
UFJ;BIOMEDICINA;Unidade SEDE (Jataí);Integral (Bacharelado);2;1,5;3;2;1,5;10;711,15
UFJ;CIÊNCIA DA COMPUTAÇÃO;Unidade SEDE (Jataí);Integral (Bacharelado);2;1;1;2;4;10;732,01
UFJ;CIÊNCIAS BIOLÓGICAS;Unidade SEDE (Jataí);Integral (Licenciatura);2;1,5;3;2;1,5;10;594,41
UFJ;CIÊNCIAS BIOLÓGICAS;Unidade SEDE (Jataí);Integral (Bacharelado);2;1,5;3;2;1,5;10;620,29
UFJ;DIREITO;Unidade SEDE (Jataí);Noturno (Bacharelado);2,5;2;1;2,5;2;10;751,45
UFJ;EDUCAÇÃO FÍSICA;Unidade SEDE (Jataí);Integral (Bacharelado);2,5;3;1;2,5;1;10;602,34
UFJ;EDUCAÇÃO FÍSICA;Unidade SEDE (Jataí);Integral (Licenciatura);2,5;3;1;2,5;1;10;610,68
UFJ;ENFERMAGEM;Unidade SEDE (Jataí);Integral (Bacharelado);2;1,5;3;2;1;9,5;697,95
UFJ;ENGENHARIA FLORESTAL;Unidade SEDE (Jataí);Integral (Bacharelado);2;1;3;2;2;10;573,17
